model_id,n_features,interaction_order,depth,n_nodes,n_decision_nodes,n_leaves,leaves_times_depth,elapsed_time
DT,14,1,20,6659,3329,3330,66600,0.46100544929504395
DT,14,1,20,6659,3329,3330,66600,0.4320058822631836
DT,14,1,20,6659,3329,3330,66600,0.43700695037841797
DT,14,1,20,6659,3329,3330,66600,0.44200801849365234
DT,14,1,20,6659,3329,3330,66600,0.4352278709411621
DT,14,1,20,6659,3329,3330,66600,0.4380073547363281
DT,14,1,20,6659,3329,3330,66600,0.4420013427734375
DT,14,1,20,6659,3329,3330,66600,0.44414544105529785
DT,14,1,20,6659,3329,3330,66600,0.4340076446533203
DT,14,1,20,6659,3329,3330,66600,0.44213032722473145
DT,14,2,20,6659,3329,3330,66600,0.5270025730133057
DT,14,2,20,6659,3329,3330,66600,0.5419964790344238
DT,14,2,20,6659,3329,3330,66600,0.5629997253417969
DT,14,2,20,6659,3329,3330,66600,0.5329995155334473
DT,14,2,20,6659,3329,3330,66600,0.5309948921203613
DT,14,2,20,6659,3329,3330,66600,0.5339922904968262
DT,14,2,20,6659,3329,3330,66600,0.5320003032684326
DT,14,2,20,6659,3329,3330,66600,0.543999433517456
DT,14,2,20,6659,3329,3330,66600,0.5370006561279297
DT,14,2,20,6659,3329,3330,66600,0.5379998683929443
DT,14,3,20,6659,3329,3330,66600,0.639000654220581
DT,14,3,20,6659,3329,3330,66600,0.6279997825622559
DT,14,3,20,6659,3329,3330,66600,0.6129999160766602
DT,14,3,20,6659,3329,3330,66600,0.6380009651184082
DT,14,3,20,6659,3329,3330,66600,0.6200542449951172
DT,14,3,20,6659,3329,3330,66600,0.6523904800415039
DT,14,3,20,6659,3329,3330,66600,0.685255765914917
DT,14,3,20,6659,3329,3330,66600,0.6835465431213379
DT,14,3,20,6659,3329,3330,66600,0.6533627510070801
DT,14,3,20,6659,3329,3330,66600,0.6419990062713623
DT,14,4,20,6659,3329,3330,66600,0.9670519828796387
DT,14,4,20,6659,3329,3330,66600,0.9599952697753906
DT,14,4,20,6659,3329,3330,66600,0.9699995517730713
DT,14,4,20,6659,3329,3330,66600,0.9662625789642334
DT,14,4,20,6659,3329,3330,66600,0.978003978729248
DT,14,4,20,6659,3329,3330,66600,0.9951691627502441
DT,14,4,20,6659,3329,3330,66600,1.0001213550567627
DT,14,4,20,6659,3329,3330,66600,1.0191209316253662
DT,14,4,20,6659,3329,3330,66600,0.9879953861236572
DT,14,4,20,6659,3329,3330,66600,0.9932384490966797
DT,14,5,20,6659,3329,3330,66600,1.6951608657836914
DT,14,5,20,6659,3329,3330,66600,1.7890005111694336
DT,14,5,20,6659,3329,3330,66600,1.7029995918273926
DT,14,5,20,6659,3329,3330,66600,1.792999505996704
DT,14,5,20,6659,3329,3330,66600,1.9940004348754883
DT,14,5,20,6659,3329,3330,66600,1.7162644863128662
DT,14,5,20,6659,3329,3330,66600,1.7119996547698975
DT,14,5,20,6659,3329,3330,66600,1.7692997455596924
DT,14,5,20,6659,3329,3330,66600,1.724001407623291
DT,14,5,20,6659,3329,3330,66600,1.849827527999878
DT,14,6,20,6659,3329,3330,66600,2.609463691711426
DT,14,6,20,6659,3329,3330,66600,2.588020086288452
DT,14,6,20,6659,3329,3330,66600,2.5662176609039307
DT,14,6,20,6659,3329,3330,66600,2.411771774291992
DT,14,6,20,6659,3329,3330,66600,2.686311960220337
DT,14,6,20,6659,3329,3330,66600,2.5210866928100586
DT,14,6,20,6659,3329,3330,66600,2.6391351222991943
DT,14,6,20,6659,3329,3330,66600,3.194617986679077
DT,14,6,20,6659,3329,3330,66600,2.5710082054138184
DT,14,6,20,6659,3329,3330,66600,2.6238207817077637
